time,lat,lon,count
2019-08-14 12:46:17,32.1,118.7,52
2019-08-14 12:46:17,31.9,118.8,84
2019-08-14 12:46:17,31.75,118.65,3
2019-08-14 12:46:17,32.35,118.4,2
2019-08-14 12:46:17,32.35,118.35,2
2019-08-14 12:46:17,32.0,119.05,2
2019-08-14 12:46:17,32.3,118.3,26
2019-08-14 12:46:17,31.5,118.55,5
2019-08-14 12:46:17,31.2,118.75,1
2019-08-14 12:46:17,32.3,119.2,7
2019-08-14 12:46:17,32.3,118.4,6
2019-08-14 12:46:17,32.3,118.35,10
2019-08-14 12:46:17,31.25,119.2,1
2019-08-14 12:46:17,32.0,118.7,15
2019-08-14 12:46:17,32.1,118.7,45
2019-08-14 12:46:17,31.75,118.65,1
2019-08-14 12:46:17,32.35,118.4,3
2019-08-14 12:46:17,32.1,118.7,30
2019-08-14 12:46:17,31.25,119.15,5
2019-08-14 12:46:17,32.1,118.25,3
2019-08-14 12:46:17,31.8,118.8,3
2019-08-14 12:46:17,31.35,118.4,53
2019-08-14 12:46:17,31.4,118.65,7
2019-08-14 12:46:17,31.8,119.25,1
2019-08-14 12:46:17,32.1,118.65,2
2019-08-14 12:46:17,31.75,118.8,7
2019-08-14 12:46:17,31.7,118.75,2
2019-08-14 12:46:17,31.4,118.9,1
2019-08-14 12:46:17,31.6,118.4,1
2019-08-14 12:46:17,31.55,118.8,3
2019-08-14 12:46:17,32.25,119.15,18
2019-08-14 12:46:17,31.2,118.25,2
2019-08-14 12:46:17,32.3,118.45,2
2019-08-14 12:46:17,32.05,118.6,121
2019-08-14 12:46:17,32.1,118.95,2
2019-08-14 12:46:17,31.8,118.65,6
2019-08-14 12:46:17,32.2,118.95,3
2019-08-14 12:46:17,32.2,118.25,4
2019-08-14 12:46:17,32.15,119.05,9
2019-08-14 12:46:17,32.05,119.1,3
2019-08-14 12:46:17,31.65,118.45,56
2019-08-14 12:46:17,31.75,119.2,2
2019-08-14 12:46:17,32.05,118.8,6
2019-08-14 12:46:17,32.0,118.75,152
